"Name","Address","Latitude","Longitude"
"Acacia Ridge Leisure Centre","1391 Beaudesert Road, Acacia Ridge",-27.58616,153.026354
"Bellbowrie Pool","Sugarwood Street, Bellbowrie",-27.565466,152.891082
"Carole Park","Cnr Boundary Road and Waterford Road Wacol",-27.607439,152.931511
"Centenary Pool (inner City)","400 Gregory Terrace, Spring Hill",-27.455369,153.025067
"Chermside Pool","375 Hamilton Road, Chermside",-27.385829,153.035109
"Colmslie Pool (Morningside)","400 Lytton Road, Morningside",-27.45516,153.078861
"Spring Hill Baths (inner City)","14 Torrington Street, Springhill",-27.459596,153.021548
"Dunlop Park Pool (Corinda)","794 Oxley Road, Corinda",-27.546519,152.980628
"Fortitude Valley Pool","432 Wickham Street, Fortitude Valley",-27.4539,153.0368
"Hibiscus Sports Complex (upper MtGravatt)","90 Klumpp Road, Upper Mount Gravatt",-27.551826,153.07354
"Ithaca Pool ( Paddington)","131 Caxton Street, Paddington",-27.462262,153.010347
"Jindalee Pool","11 Yallambee Road, Jindalee",-27.532363,152.942691
"Manly Pool","1 Fairlead Crescent, Manly",-27.452285,153.187437
"Mt Gravatt East Aquatic Centre","Cnr wecker Road and Newnham Road, Mansfield",-27.532135,153.094289
"Musgrave Park Pool (South Brisbane)","100 Edmonstone Street, South Brisbane",-27.479777,153.016806
"Newmarket Pool","71 Alderson Stret, Newmarket",-27.42968,153.006206
"Runcorn Pool","37 Bonemill Road, Runcorn",-27.591561,153.076415
"Sandgate Pool","231 Flinders Parade, Sandgate",-27.311956,153.069098
"Langlands Parks Pool (Stones Corner)","5 Panitya Street, Stones Corner",-27.497689,153.04867
"Yeronga Park Pool","81 School Road, Yeronga",-27.520527,153.018544
